fund,rebalance_date,ticker,weight
Equity_MinVariance,2021-01-04,ABBV,0.162569
Equity_MinVariance,2021-01-04,ABT,0.0
Equity_MinVariance,2021-01-04,ADBE,0.0
Equity_MinVariance,2021-01-04,AEP,0.0
Equity_MinVariance,2021-01-04,AMD,0.0
Equity_MinVariance,2021-01-04,AMGN,0.0
Equity_MinVariance,2021-01-04,AMT,0.0
Equity_MinVariance,2021-01-04,BA,0.0
Equity_MinVariance,2021-01-04,CAT,0.0
Equity_MinVariance,2021-01-04,CCI,0.0
Equity_MinVariance,2021-01-04,CMCSA,0.0
Equity_MinVariance,2021-01-04,COP,0.0
Equity_MinVariance,2021-01-04,CVX,0.0
Equity_MinVariance,2021-01-04,D,0.0
Equity_MinVariance,2021-01-04,DD,0.0
Equity_MinVariance,2021-01-04,DIS,0.0
Equity_MinVariance,2021-01-04,DOW,0.0
Equity_MinVariance,2021-01-04,DUK,0.0
Equity_MinVariance,2021-01-04,EA,0.073241
Equity_MinVariance,2021-01-04,GE,0.0
Equity_MinVariance,2021-01-04,GILD,0.127372
Equity_MinVariance,2021-01-04,GS,0.0
Equity_MinVariance,2021-01-04,INTC,0.0
Equity_MinVariance,2021-01-04,KO,0.0
Equity_MinVariance,2021-01-04,MMM,0.078526
Equity_MinVariance,2021-01-04,MRK,0.058177
Equity_MinVariance,2021-01-04,MS,0.0
Equity_MinVariance,2021-01-04,NEE,0.0
Equity_MinVariance,2021-01-04,NEM,0.1372
Equity_MinVariance,2021-01-04,NKE,0.005322
Equity_MinVariance,2021-01-04,NUE,0.0
Equity_MinVariance,2021-01-04,NVDA,0.0
Equity_MinVariance,2021-01-04,O,0.0
Equity_MinVariance,2021-01-04,OXY,0.0
Equity_MinVariance,2021-01-04,PLD,0.0
Equity_MinVariance,2021-01-04,PSA,0.07534
Equity_MinVariance,2021-01-04,QCOM,0.0
Equity_MinVariance,2021-01-04,SBUX,0.0
Equity_MinVariance,2021-01-04,SHW,0.0
Equity_MinVariance,2021-01-04,SLB,0.0
Equity_MinVariance,2021-01-04,SO,0.0
Equity_MinVariance,2021-01-04,T,0.0
Equity_MinVariance,2021-01-04,TMUS,0.0
Equity_MinVariance,2021-01-04,TTWO,0.037309
Equity_MinVariance,2021-01-04,UPS,0.013935
Equity_MinVariance,2021-01-04,USB,0.0
Equity_MinVariance,2021-01-04,V,0.0
Equity_MinVariance,2021-01-04,WFC,0.0
Equity_MinVariance,2021-01-04,WMT,0.23101
Equity_MinVariance,2021-01-04,XOM,0.0
Equity_MinVariance,2021-02-01,ABBV,0.148371
Equity_MinVariance,2021-02-01,ABT,0.0
Equity_MinVariance,2021-02-01,ADBE,0.0
Equity_MinVariance,2021-02-01,AEP,0.0
Equity_MinVariance,2021-02-01,AMD,0.0
Equity_MinVariance,2021-02-01,AMGN,0.0
Equity_MinVariance,2021-02-01,AMT,0.0
Equity_MinVariance,2021-02-01,BA,0.0
Equity_MinVariance,2021-02-01,CAT,0.0
Equity_MinVariance,2021-02-01,CCI,0.0
Equity_MinVariance,2021-02-01,CMCSA,0.0
Equity_MinVariance,2021-02-01,COP,0.0
Equity_MinVariance,2021-02-01,CVX,0.0
Equity_MinVariance,2021-02-01,D,0.0
Equity_MinVariance,2021-02-01,DD,0.0
Equity_MinVariance,2021-02-01,DIS,0.0
Equity_MinVariance,2021-02-01,DOW,0.0
Equity_MinVariance,2021-02-01,DUK,0.0
Equity_MinVariance,2021-02-01,EA,0.087051
Equity_MinVariance,2021-02-01,GE,0.0
Equity_MinVariance,2021-02-01,GILD,0.119982
Equity_MinVariance,2021-02-01,GS,0.0
Equity_MinVariance,2021-02-01,INTC,0.0
Equity_MinVariance,2021-02-01,KO,0.0
Equity_MinVariance,2021-02-01,MMM,0.101397
Equity_MinVariance,2021-02-01,MRK,0.067553
Equity_MinVariance,2021-02-01,MS,0.0
Equity_MinVariance,2021-02-01,NEE,0.0
Equity_MinVariance,2021-02-01,NEM,0.1282
Equity_MinVariance,2021-02-01,NKE,0.0
Equity_MinVariance,2021-02-01,NUE,0.0
Equity_MinVariance,2021-02-01,NVDA,0.0
Equity_MinVariance,2021-02-01,O,0.0
Equity_MinVariance,2021-02-01,OXY,0.0
Equity_MinVariance,2021-02-01,PLD,0.0
Equity_MinVariance,2021-02-01,PSA,0.080806
Equity_MinVariance,2021-02-01,QCOM,0.0
Equity_MinVariance,2021-02-01,SBUX,0.0
Equity_MinVariance,2021-02-01,SHW,0.0
Equity_MinVariance,2021-02-01,SLB,0.0
Equity_MinVariance,2021-02-01,SO,0.0
Equity_MinVariance,2021-02-01,T,0.0
Equity_MinVariance,2021-02-01,TMUS,0.0
Equity_MinVariance,2021-02-01,TTWO,0.031613
Equity_MinVariance,2021-02-01,UPS,0.007047
Equity_MinVariance,2021-02-01,USB,0.0
Equity_MinVariance,2021-02-01,V,0.0
Equity_MinVariance,2021-02-01,WFC,0.0
Equity_MinVariance,2021-02-01,WMT,0.227979
Equity_MinVariance,2021-02-01,XOM,0.0
Equity_MinVariance,2021-03-01,ABBV,0.180072
Equity_MinVariance,2021-03-01,ABT,0.0
