date,Equity_MinVariance,Equity_MaxSharpe,Equity_RiskParity,Crypto_MinVariance,Crypto_MaxSharpe,Crypto_RiskParity,Combined_MinVariance,Combined_MaxSharpe,Combined_RiskParity,Combined_TwoStage_MinVariance,Combined_TwoStage_MaxSharpe
2021-01-04,0.00369236692451075,-0.005348379684631519,-0.011905563447204476,-0.013861032951045788,-0.0022765778625136674,0.04172880523177211,0.0036908324003729186,-0.0031303107699540166,-0.005491313227053568,0.00369236692451075,-0.003332617594973162
2021-01-05,0.0011597101009851534,0.005811474762916982,0.008925258031540123,0.04702490974805247,0.07427232479637151,0.04410929962465093,0.0011587748223688466,0.048680784152764424,0.012950562747501039,0.0011597101009851564,0.050736503822271926
2021-01-06,0.00604822880954639,-0.011814849652944643,0.010374190416448447,0.0864055991329086,0.14675103194789105,0.16660290274506728,0.006044102608968302,0.08779241751942483,0.029024262655115846,0.006048228809546396,0.0922384426339423
2021-01-07,0.006337664025752757,0.021244375876605787,0.008791550557604893,0.06866229676040611,0.05558178258618663,0.014277854490204925,0.006338579469058524,0.041345427258339854,0.009462513321746031,0.006337664025752761,0.04377709338591202
2021-01-08,-0.0023823006896164884,-0.0003732081234031448,0.002894987198111802,0.029224032264373614,0.02887217461347078,-0.0052770367201280255,-0.0023789770728987357,0.015845751586175814,0.0017899289099383648,-0.002382300689616487,0.018818047443303728
2021-01-11,0.0003437198448274059,-0.0037094237917039584,-0.0010636612424093548,-0.07818409439467028,-0.0712516007909019,-0.12711246036503882,0.0003464961078974919,-0.04284652010735604,-0.016061835868819534,0.00034371984482740045,-0.048031605928476793
2021-01-12,0.0013895174204273972,-0.017085390381237714,-0.00041252454621422744,-0.04082887649033502,-0.03848574605643612,-0.02041737388432675,0.0013928608058600528,-0.026130986727609905,-0.0026512571783557084,0.0013895174204273941,-0.03112862239075863
2021-01-13,-0.0017111682080392396,-0.0009006355513266544,0.0002501073437278624,0.09402394165712212,0.09803604145260231,0.08294750975837194,-0.0017086488284516754,0.06162879179723992,0.010014589561028306,-0.0017111682080392329,0.06402308490007776
2021-01-14,0.0038722677600562983,-0.014742257644355543,0.0018394755632766394,0.041726921504869056,0.044922296090141756,0.02113874747115365,0.0038736275731020555,0.026616082722100674,0.004153796617934953,0.003872267760056301,0.024410510821503383
2021-01-15,-0.005263346065309809,-0.004875774909598098,-0.007383566353974167,-0.05443426777986769,-0.06009699000458361,-0.03906544381929834,-0.0052662233468626085,-0.045194806408378335,-0.011062451323730717,-0.0052633460653098135,-0.041112758406338545
2021-01-19,0.009701761221396625,0.009692517917708636,0.007033188250759625,-0.015193756360955702,-0.015157962020161437,0.008520087222982971,0.009700393270000898,-0.00956934299360058,0.007224179703553617,0.009701761221396625,-0.0066147369995496015
2021-01-20,0.015167696136054324,0.02753011877561911,0.010027182802338283,-0.013382506151937975,-0.014702727770875383,-0.006258233432181187,0.015168752934629375,0.0011460740405717105,0.007974413421445274,0.015167696136054324,-0.0001837039045461267
2021-01-21,-0.009324131039150672,-0.0014035363166525787,-0.006309542878778257,-0.1275631713799395,-0.13369364452417817,-0.12955683587624617,-0.009324146137114587,-0.08349810825692307,-0.020839896085867962,-0.00932413103915068,-0.08821427490058904
2021-01-22,-0.00047808749572472286,-0.005576250161710813,-0.0024161416177537055,0.06538857085284049,0.0707348151106582,0.06064434781217895,-0.0004766991432376457,0.04209293144674843,0.004919388814543937,-0.00047808749572471847,0.044500207013977555
2021-01-25,0.003319286666287464,0.00161740492225799,0.0031332979019514117,-0.0002025843852996982,-0.0011316791556992552,-0.021185971919107652,0.003320447056205275,0.0007204927439735438,0.0003357965743506427,0.0033192866662874634,-0.00018658497895544226
2021-01-26,-0.0018169057044895675,-0.008065195291532634,-0.0036891098101278137,0.005221488374276587,0.005464842843950635,-0.0021149619556578105,-0.0018197465945757477,-1.0668203199136472e-05,-0.003549248448397883,-0.0018169057044895671,0.0008134171725798717
2021-01-27,-0.021641429324427724,-0.04037563072222197,-0.025339386245060817,-0.06300603815292796,-0.06756424241707756,-0.07338413503738998,-0.021650367043824968,-0.053964691687100115,-0.030910293597024685,-0.02164142932442773,-0.058217202509280176
2021-01-28,0.0010498552284697008,0.02077681084357897,0.009459563821420984,0.09359272958412217,0.11137270920695097,0.09317285461997984,0.0010495338703164156,0.07427340079428704,0.01924836550416343,0.0010498552284697068,0.08022718817082468
