date,Combined_MinVariance_Shrunk,Combined_MaxSharpe_Shrunk
2021-01-04,0.00028267521328203746,0.0032133124670165577
2021-01-05,0.0009420524308327673,0.05142673313249796
2021-01-06,0.004457839663382096,0.10076583517729512
2021-01-07,0.006969059494124196,0.038952908554523366
2021-01-08,-0.0012817412198566852,0.013539487456787609
2021-01-11,-0.0002465436891430886,-0.04164124188598203
2021-01-12,-0.000732403557514028,-0.02436575860426482
2021-01-13,-0.0024728401334696186,0.0601043366922539
2021-01-14,0.002810863523338569,0.024153084276058764
2021-01-15,-0.0043300523963672585,-0.04451256859474623
2021-01-19,0.009143465781752725,-0.00867887473422774
2021-01-20,0.01544559519865633,0.0017393753136484167
2021-01-21,-0.008777850158674943,-0.08143978390412901
2021-01-22,-0.0014774030924513044,0.04107758554211151
2021-01-25,0.003720690971636066,-0.0006081562752449604
2021-01-26,-0.002353609610099123,-0.0007215163728970775
2021-01-27,-0.02079019558163078,-0.05431682643113293
2021-01-28,0.0017360820316631848,0.0763471770948861
2021-01-29,-0.00958166886542045,0.012313149908157526
2021-02-01,0.0018819119105610092,0.019906064291997337
2021-02-02,0.007390379550142864,0.04096428953637831
2021-02-03,-0.0040721630879288285,0.02310130149778789
2021-02-04,0.0018687419958725603,-0.011518087141555288
2021-02-05,0.015293349104338246,0.028903364562577957
2021-02-08,0.003271657811982065,0.09676610977155815
2021-02-09,-0.0017335750761571667,0.00043372246152811704
2021-02-10,-0.006349956687536162,0.0001921347092623104
2021-02-11,-0.00453558440519339,0.047943692100151744
2021-02-12,0.004316515465416419,0.022567642892763178
2021-02-16,-0.010213734232922617,0.011102720187264279
2021-02-17,0.006050423357993813,0.020431944636603645
2021-02-18,-0.007401756291216554,-0.0035549665358677214
2021-02-19,-0.008084808144956598,0.03887342187630837
2021-02-22,0.0009114191929093492,-0.04269987047846224
2021-02-23,-0.006735030029137472,-0.07525387694146995
2021-02-24,-0.0006949883928143937,0.02229175141055007
2021-02-25,-0.00910545590540978,-0.054215890391601546
2021-02-26,-0.017421921514777894,0.008159045489000694
2021-03-01,0.009528243230317545,0.045696035955222335
2021-03-02,0.0054520079150514045,-0.018527539538401337
2021-03-03,-0.012631557813138763,0.008189964683615093
2021-03-04,-0.0043432405006999224,-0.03189707971499296
2021-03-05,0.014755311334793849,0.01848663946968621
2021-03-08,-0.0051585128262910595,-0.005213026584349075
2021-03-09,0.007339411686829377,0.03606905642416999
2021-03-10,0.008200379914803962,0.0006717638455329517
2021-03-11,0.0009486920021064701,0.015923650865592682
2021-03-12,0.004253944698373865,-0.013257265565859853
2021-03-15,0.013418587906597577,-0.031231647501668965
2021-03-16,0.005638712508160906,0.03464904577835553
2021-03-17,-0.008002881486910394,0.024637102430129995
