fund,ann_return,ann_vol,sharpe,max_drawdown,oos_days,first_live_date
Equity_MinVariance,0.06233481210400615,0.12759876355430558,0.4885220700236384,-0.15430152805388686,753,2021-01-04
Equity_MaxSharpe,0.10690081842373243,0.18227992549158367,0.5864651202563077,-0.26118172712459076,753,2021-01-04
Equity_RiskParity,0.10553540202597024,0.1458374571309008,0.7236508651631506,-0.18532992037104634,753,2021-01-04
Crypto_MinVariance,0.30502156603775643,0.594557344132525,0.513022955729848,-0.7528323784856463,753,2021-01-04
Crypto_MaxSharpe,-0.15331785254765656,0.7562390708235475,-0.2027372803955934,-0.9092281084010435,753,2021-01-04
Crypto_RiskParity,0.33436466131714865,0.7265745710180573,0.46019317858681125,-0.8353206856363021,753,2021-01-04
Combined_MinVariance,0.06276618273547135,0.12789426798178866,0.4907661909008218,-0.15633599672735932,753,2021-01-04
Combined_MaxSharpe,0.25478409963132465,0.24651879073930436,1.0335281090225732,-0.26308324575314657,753,2021-01-04
Combined_RiskParity,0.14359407205360045,0.16020129569650057,0.8963352726287414,-0.19836859465503076,753,2021-01-04
Combined_TwoStage_MinVariance,0.06356520798041985,0.1276517731913299,0.49795789272073504,-0.15587655978722903,753,2021-01-04
Combined_TwoStage_MaxSharpe,0.24244914549783333,0.2465709548116887,0.9832834758781573,-0.2629058624123175,753,2021-01-04
